Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240719_172912,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,48.232737112,-2,-2,-512.685685,-48.493221,60.123,61.495,60.964,14.8075734405679,,Pass,
CT-3103A,operator,20240719_181534,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,34.7068904,-2,-2,-557.808904,-48.456597,60.146,61.497,60.974,14.8159783178902,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_160032,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.5,1,0,1557,NaN,34.68354681,-2,-2,-589.274976,-44.391276,58.308,62.505,59.584,14.1374765060804,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_163252,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.63594469,-2,-2,-593.426754,-45.013894,60.097,61.338,60.927,14.8785028125665,,Pass,
CT-3103A,operator,20240809_143832,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.09187839,-2,-2,-620.631792,-45.526638,60.171,61.528,60.978,14.7764419976119,,Pass,
CT-3103A,operator,20240819_171941,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.3191382,-2,-2,-338.05627,-30.107722,60.999,61.597,61.366,13.7220195237387,,Pass,
CT-3103A,operator,20240819_182416,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.36591362,-2,-2,-336.635916,-30.290845,61.046,61.612,61.367,13.7269789579733,,Pass,
CT-3103A,operator,20240820_102453,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,44.8643099,-2,-2,-339.039572,-31.38958,61.077,61.556,61.449,13.7446792956454,,Pass,
CT-3103A,operator,20240905_090238,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.5,10.5,2.25,0,7.5,1554.2,NaN,45.6405556,-2,-2,-4251.652863,-6.003365,50.192,50.35,50.603,5.07626749592518,,Pass,[Low Power],54.99587
CT-3103A,operator,20240905_090803,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,6.5,0,2.5,1554.3,NaN,30.078923,-2,-2,-12492.329814,-4.979175,54.229,53.012,53.293,6.49412983663252,,Pass,[SMSR Fail][Low Power],55.00747
CT-3103A,operator,20240905_183531,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,1,0.5,0,1557.3,NaN,31.7893658,-2,-2,-16687.761992,-5.235222,56.18,55.004,56.102,11.2668001037318,,Pass,[SMSR Fail],55.01525
CT-3103A,operator,20240905_184126,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,10.2,9.8,4.5,0.5,0,1556.6,NaN,37.3866784,-2,-2,-14488.888904,-8.307793,55.442,55.154,55.087,14.0554657653021,,Pass,,54.99404
CT-3103A,operator,20240905_184139,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240906_163857,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.4,10.6,1.5,0.5,0,NaN,NaN,NaN,-2,-2,NaN,NaN,70.931,71.056,NaN,14.7030378016632,,Pass,,55.02309
CT-3103A,operator,20240906_164259,X240704001,Pre BI,Left (A),97,2,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,2.5,0,7.5,NaN,NaN,NaN,-2,-2,NaN,NaN,50.426,50.441,NaN,5.15988846024634,,Pass,[Low Power],54.95837
CT-3103A,operator,20240906_164826,X240704001,Pre BI,Left (A),97,3,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3.25,9.5,0,NaN,NaN,NaN,-2,-2,NaN,NaN,48.832,49.797,NaN,3.70665728526789,,Pass,[Low Power],54.88149
CT-3103A,operator,20240909_093859,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.6,10.4,6,0,2.5,1554.3,NaN,35.5736045,-2,-2,-12215.381488,-3.698937,53.141,53.158,53.872,5.82991735456584,,Pass,[Low Power],54.96923
CT-3103A,operator,20240909_102134,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.4,9.6,1,1,0,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,52.232,NaN,4.5087772460154,,Pass,[Low Power],55.01092
CT-3103A,operator,20240909_113447,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,50.415,NaN,5.09881039548494,,Pass,[Low Power],55.04885
CT-3103A,operator,20240909_123401,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,1554.2,NaN,43.81761,-2,-2,-1387.810451,-7.173868,50.632,50.122,51.226,5.1938634205752,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_38_39_40_41_42_43_44_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.0079
CT-3103A,operator,20240909_142925,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,1554.2,NaN,44.4323644,-2,-2,-1392.062753,-7.173868,50.646,50.595,51.435,5.02595610354894,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_40_41_42_43_44_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.05038
CT-3103A,operator,20240909_160042,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,1554.2,NaN,45.1514418,-2,-2,-1396.901556,-7.722541,50.75,50.454,51.32,5.21725526393517,,Pass,[Low Power],54.96651
CT-3103A,operator,20240909_162328,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,1554.2,NaN,44.81695633,-2,-2,-1396.05836,-7.795698,50.838,50.653,51.416,4.97118202011481,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_40_41_42_43_44_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.98614
CT-3103A,operator,20240909_165046,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.7,10.3,3,0,1,1554.2,NaN,44.8600981,-2,-2,-1395.838452,-7.905433,50.832,50.344,51.426,5.26169288299101,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_40_41_42_43_44_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.96142
CT-3103A,operator,20240910_102030,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10,10,3.75,0,1,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,50.874,NaN,5.27131233402452,,Pass,[Low Power],55.03075
CT-3103A,operator,20240910_103408,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.3765776,-2,-2,-1392.245991,-7.832276,50.987,50.661,51.849,5.22118449706455,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.98379
CT-3103A,operator,20240910_104816,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.25835875,-2,-2,-1391.402911,-7.868854,51.002,50.63,51.903,5.37517601909539,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.96487
CT-3103A,operator,20240910_110033,X240704001,Pre BI,Rignt (B),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10,10,3.75,0,1,1554.1,NaN,41.909005,-2,-2,-1403.279952,-7.795698,51.253,50.806,52.076,5.54908330379074,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.02627
CT-3103A,operator,20240910_111127,X240704001,Pre BI,Rignt (B),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.5694017,-2,-2,-1401.667017,-7.905433,51.024,50.591,51.806,5.56708894290475,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.96462
CT-3103A,operator,20240910_112233,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.3124141,-2,-2,-1389.093464,-7.75912,50.995,50.413,51.685,5.30517830832498,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.96749
CT-3103A,operator,20240910_113343,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.14514188,-2,-2,-1401.960268,-7.832276,50.999,50.474,51.835,5.33083017774769,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.897
CT-3103A,operator,20240910_131727,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.3779911,-2,-2,-1390.852965,-8.417528,50.999,50.736,51.839,5.27804652335866,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.04967
CT-3103A,operator,20240911_132127,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240911_133526,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.2,10.8,1.75,0,0,1554.2,NaN,42.55145328,-2,-2,-6748.332176,-5.381535,51.746,51.752,52.655,4.86833362594015,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_83_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.96386
CT-3103A,operator,20240911_135000,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10.1,9.9,4,0,1.5,1554.1,NaN,39.36161888,-2,-2,-1393.015846,-8.344371,51.559,51.614,52.627,5.32044208840857,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.01739
CT-3103A,operator,20240912_091457,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.4,10.6,3.25,0,1,1554.2,NaN,45.7650891,-2,-2,-1334.986766,-7.210447,50.451,50.157,51.03,5.15945825223947,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_32_33_34_35_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.97341
CT-3103A,operator,20240912_100021,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10,10,3.75,0,1,1554.1,NaN,41.01010512,-2,-2,-1407.128992,-7.576229,51.401,51.18,52.218,5.3751071858143,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],54.97613
CT-3103A,operator,20240912_150146,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,9.9,10.1,3.75,0,1,1554.1,NaN,42.38020006,-2,-2,-1397.451386,-7.503072,51.121,50.929,51.925,5.27416317908335,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_36_37_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.01342
CT-3103A,operator,20240913_114659,X240704001,Pre BI,Left (A),97,1,DO721#1,TM038,TM038-G-04-39,120,50,40,10,10,3.75,0,1,1554.1,NaN,41.13025343,-2,-2,-1403.49986,-8.015168,51.315,51.06,52.18,5.28343272760462,-2_-1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14_15_16_17_18_19_20_21_22_23_24_25_26_27_28_29_30_31_36_37_40_41_42_43_44_89_90_91_92_93_94_95_96_97,Fail,[Low Power][Coarse Tuning fail],55.00954
CT-3103A,operator,20241024_121209,X240704001,Pre BI,Left (A),97,4,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_121342,X240704001,Pre BI,Left (A),97,5,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_150617,X240704001,Pre BI,Rignt (B),97,4,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_150753,X240704001,Pre BI,Rignt (B),97,5,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_155141,X240704001,Pre BI,Left (A),97,4,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_155314,X240704001,Pre BI,Left (A),97,5,DO721#1,TM038,TM038-G-04-39,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
